Word,POS
일,NNG
왜,MAG
끝,NNG
화,NNG
그냥,MAG
나,NP
해결,NNG
남,NNG
부담,NNG
이번,NNG
달,NNG
또,MAG
급여,NNG
물가,NNG
월급,NNG
자꾸,MAG
너무,MAG
최대한,MAG
지출,NNG
억제,NNG
고정,NNG
회사,NNG
신입,NNG
말투,NNG
애,NNG
매일,MAG
생각,NNG
스트레스,NNG
잘,MAG
안,MAG
사람,NNG
억지로,MAG
조금,NNG
거리,NNG
예의,NNG
덜,MAG
직장,NNG
막내,NNG
이유,NNG
심부름,NNG
정말,MAG
이야기,NNG
방해,NNG
얼마,NNG
전,NNG
입사,NNG
사원,NNG
무시,NNG
상사,NNG
먼저,MAG
인사,NNG
시간,NNG
진로,NNG
고민,NNG
자주,MAG
지적,NNG
때,NNG
업무,NNG
성인,NNG
아직,MAG
못,MAG
부모,NNG
좀,MAG
더,MAG
테스트,NNG
퇴사,NNG
천천히,MAG
졸업반,NNG
취업,NNG
지금,MAG
걱정,NNG
많이,MAG
요즘,NNG
생활,NNG
우리,NP
복지,NNG
곧,MAG
출산,NNG
육아,NNG
휴직,NNG
기간,NNG
소정,NNG
지원금,NNG
제공,NNG
나이,NNG
마음,NNG
인생,NNG
꼭,MAG
빨리,MAG
면접,NNG
직업,NNG
질문,NNG
무척,MAG
당혹,NNG
영향,NNG
큰일,NNG
부장,NNG
결재,NNG
서류,NNG
뒤,NNG
제출,NNG
어디,NP
과장,NNG
아니,VCN
괜히,MAG
합격,NNG
연락,NNG
오늘,NNG
다시,MAG
취소,NNG
통보,NNG
코로나바이러스,NNP
아예,MAG
길,NNG
우연히,MAG
동네,NNG
아주머니,NNG
당황,NNG
평소,NNG
갑자기,MAG
취직,NNG
당당,MAG
말,NNG
곤란,NNG
어제,MAG
문자,NNG
잘못,MAG
발송,NNG
물론,MAG
사과,NNG
대,XPN
기업,NNG
실수,NNG
실망,NNG
출근,NNG
버스,NNG
카드,NNG
지갑,NNG
교통,NNG
이직,NNG
아주,MAG
이제,MAG
코로나,NNG
뭐,NP
준비,NNG
시험,NNG
줄줄이,MAG
마비,NNG
참,MAG
자격증,NNG
공부,NNG
계속,NNG
상황,NNG
일단,MAG
열심히,MAG
중요,NNG
발표,NNG
앞,NNG
몸,NNG
관련,NNG
온몸,NNG
현재,MAG
문,NNG
갈수록,MAG
비,NNG
점점,MAG
기분,NNG
야근,NNG
솔직히,MAG
굳이,MAG
사내,NNG
분위기,NNG
제안,NNG
프로젝트,NNG
항상,MAG
긍정,NNG
검토,NNG
의견,NNG
귀,NNG
서로,MAG
존중,NNG
소통,NNG
전공,NNG
결과,NNG
원,NNG
점수,NNG
면접관,NNG
완전히,MAG
연봉,NNG
실,NNG
수령액,NNG
꽤,MAG
차이,NNG
내규,NNG
체계,NNG
지인,NNG
사기,NNG
배신감,NNG
십만,NR
잠적,NNG
능력,NNG
진짜,MAG
중소기업,NNG
친구,NNG
같이,MAG
다행,NNG
