mental_disorder,tokens
obsessive_compulsive_disorder,"['예방', '고통', '사건', '이상', '중요', '강박', '물질', '활동', '반응', '현실', '억제', '효과', '충동', '하루', '감소', '설명', '정리', '불안', '괴로움', '기간', '무시', '생리', '사회', '재발', '적용', '초래', '손상', '중화', '엄격', '유발', '단어', '조용히', '영역', '임상', '의학', '연결', '장애', '생각', '시도', '개인', '시간', '기도', '대부분', '상태', '기능', '소요', '반복', '이미지', '대응', '사고', '행동', '지속', '규칙', '경험', '관념', '분명히', '목표', '행위', '정신', '증상', '확인', '방해', '직업', '상황', '소모', '계산', '동안', '수행', '침입', '숙어', '못차린', '못차리는', '내내']"
PTSD(posttraumatic_stress_disorder),"['침해', '이상', '사건', '고통', '중요', '물질', '반응', '부정', '장기간', '가족', '효과', '사항', '변화', '죽음', '위협', '내용', '기간', '목격', '생리', '사회', '재발', '초래', '손상', '직접', '측면', '유발', '부상', '인지', '심리', '관련', '구성원', '영역', '임상', '방식', '외부', '의학', '해리', '장애', '초과', '노출', '개인', '자발', '기억', '기분', '회피', '친구', '상태', '상징', '극단', '기능', '반복', '상해', '행동', '지속', '사람', '각성', '경험', '세부', '심각', '성폭력', '실제', '외상', '영향', '증상', '자극', '직업', '단서', '내부', '발생', '침입', '동안']"
paranoid_personality_disorder,"['사건', '착취', '사유', '발언', '기인', '효과', '이용', '명성', '위협', '두려움', '과정', '용서', '생리', '동료', '사용', '다양', '타인', '정보', '배우자', '악의', '불신', '신뢰', '분열증', '해석', '정신병', '충실', '부상', '인지', '비하', '의학', '양극성 장애', '충성심', '장애', '우울', '비밀', '공격', '신속', '친구', '상태', '반격', '불리', '반복', '광범위', '상해', '동기', '성인', '지속', '사람', '조현병', '근거', '부당', '성격', '경멸', '특징', '초기', '파트너', '정절', '정신', '의심', '의미', '평판', '자신', '경시', '원한', '모욕', '상황', '동안', '발생', '특성', '못차린', '못차리는', '내내', '기간']"
ADHD,"['침해', '주의', '학업', '활동', '집중력', '응답', '약속', '사항', '소지품', '과제', '정리', '부주의', '조직', '요소', '휴대', '임무', '작업', '사용', '포함', '마감일', '장시간', '놀이', '서류', '직접', '간과', '지갑', '연필', '작성', '부정확', '열쇠', '물품', '양식', '여가', '독서', '청소년', '학교', '계속', '노력', '불안정', '관련', '조용히', '일상', '준수', '외부', '교실', '무단', '부족', '완료', '의무', '참여', '문서', '생각', '안절부절', '건망증', '회의', '정돈', '시간', '자리', '업무', '관리', '상태', '물건', '불편', '점유', '차례', '실수', '도구', '체계', '부적절', '집중', '강의', '재료', '무질서', '행동', '제한', '성인', '지속', '유지', '사람', '전화', '숙제', '요구', '경험', '검토', '안경', '세부', '대화', '심부름', '어려움', '보고서', '지불', '질문', '청구서', '사무실', '공부', '집안일', '경우', '지시', '게임', '순차', '직장', '정신', '허락', '방해', '충분히', '필요', '자극', '자신', '마음', '대답', '가만히', '상황', '휴대폰', '마감 기한', '식당', '동안', '자주', '참가', '수정', '못차린', '못차리는', '핸드폰', '휴대전화', '내내', '기간', '종종']"
bipolar_disorder,"['주의', '고통', '중요', '활동', '과민', '과대', '감소', '부주의', '자존감', '과대망상', '구매', '사회', '에너지', '초래', '느낌', '관여', '증가', '흥분', '아이디어', '투자', '수면', '관찰', '비약', '욕구', '학교', '계속', '심리', '관련', '제약', '사업', '외부', '질주', '의기양양', '지향', '참여', '생각', '동요', '시간', '기분', '운동', '확장', '쇼핑', '보고', '지속', '경주', '짜증', '결과', '무분별', '거의', '매일', '경험', '가능', '주관', '적어도', '목표', '정신', '충분히', '자극', '필요', '평소', '너무', '비정상', '동안', '비행', '거만', '압박감', '평가', '참가', '최소한', '못차린', '못차리는', '내내', '기간']"
avoidant_personality_disorder,"['거절', '개인', '대인', '불승인', '위험', '활동', '조롱', '반응', '걱정', '억제', '관계', '과민', '일관', '반대', '부정', '과민증', '열등감', '비판', '친밀', '감수', '포함', '두려움', '광범위', '부적절', '방해', '자제', '필요', '자신', '열등', '직업', '당혹', '사람', '상황', '사회', '패턴', '확신', '무능', '당황', '자제력', '접촉', '참여', '상당', '생각', '매력', '수치심', '느낌', '거부', '평가', '참가']"
MDD(major_depressive_disorder),"['활력', '이상', '관심', '고통', '손실', '중요', '죄책감', '활동', '반응', '집중력', '불면증', '하루', '변화', '죽음', '감소', '재해', '현저히', '수면과다증', '사별', '우유부단', '과다수면증', '사회', '타인', '포함', '종일', '손상', '반추', '증가', '유발', '재정', '관찰', '무가치감', '절망감', '영역', '저하', '슬픔', '임상', '체중', '장애', '우울', '흥미', '생각', '시도', '기분', '눈물', '자연', '상실', '대부분', '절망', '초조', '운동', '기능', '사고력', '반복', '보고', '사고', '계획', '피로', '구체', '거의', '매일', '다이어트', '상당', '지체', '주관', '심각', '망상', '질병', '부진', '정신', '식욕', '파탄', '즐거움', '직업', '동안', '자살', '발생', '수치감', '자기혐오', '문제해결력', '문제해결력과', '원푸드', '못차린', '못차리는', '내내', '기간']"
generalized_anxiety_disorder,"['개인', '고통', '사건', '근육', '손상', '중요', '이상', '활동', '신체', '걱정', '불만족', '며칠', '과민', '초조', '기능', '기대', '수면', '유발', '직장', '정신', '증상', '집중', '학교', '불안', '피로', '마음', '생각', '직업', '유지', '긴장', '영역', '최소', '사회', '임상', '동안', '장애', '통제', '수행', '발생', '안절부절', '느낌', '몇일', '얼마', '못차린', '못차리는', '내내', '기간']"
seperation_anxiety_disorder,"['별거', '대상', '망상', '애착', '고통', '사건', '이별', '중요', '손상', '공포증', '학업', '혼자', '두통', '회피', '신체', '걱정', '신뢰', '주요', '사망', '질병', '피해', '근처', '기능', '가족', '재난', '악몽', '동반자', '직장', '반복', '주제', '증상', '환경', '예상', '두려움', '부적절', '분리', '정신병', '부상', '환각', '광장', '사고', '학교', '불안', '발달', '외출', '건강', '지속', '직업', '구토', '악화', '우려', '영역', '사회', '임상', '납치', '호소', '경험', '장애', '복통', '발생', '초래', '타인', '거부', '홀로', '핵심']"
neurocognitive_disorders,"['치매', '섬망', '알츠하이머', '울증']"
