감정_대분류,사람문장
불안,당뇨랑 합병증 때문에 먹어야 할 약이 열 가지가 넘어가니까 스트레스야.건강할 때 관리 좀 잘할걸 하는 생각이 들더라고.약을 잘 챙겨 먹고 나을 수 있도록 노력해야지.
기쁨,재취업이 돼서 받게 된 첫 월급으로 온 가족이 외식을 할 예정이야. 너무 행복해.퇴직 후 다시는 돈을 못 벌 줄 알았는데 이렇게 월급으로 가족에게 맛있는 밥을 살 수 있어서 너무 행복해.회사생활을 열심히 해서 계속 월급을 받을거야!
기쁨,빚을 드디어 다 갚게 되어서 이제야 안도감이 들어.빚도 다 갚았으니 당분간은 아무 생각도 안 하며 살고 싶어.
분노,이제 돈이라면 지긋지긋해.나이가 예순이 넘으니 돈이 나갈 데도 많고 힘드네.
슬픔,친구 때문에 눈물 나.내 친구가 나한테 거짓말했어.
상처,새로 간 치과에서 조금 썩기만 한 이를 임플란트를 하라고 했어. 과잉진료는 안 한다더니.예전에 다니던 치과에서는 심하지 않은 충치니까 관리만 하라고 했는데 말이야. 오히려 신뢰가 떨어지네.좀 멀어도 이사 오기 전에 살던 동네의 믿을만한 옛 치과를 가야겠어.
기쁨,남편이 죽기 전에 손자들 얼굴 보고 싶다고 했는데 다행히 늦지 않아서 안도했어.살아서도 아주 예뻐하던 손자들인데 꼭 보고 싶다고 하니 마음에 걸렸는데 다행이야.내가 생명이 위급하면 가족 모두를 불러서 다 한 번씩 보고 가도록 할 거야.
분노,내가 일할 수 있는 자리가 점점 줄어든다는 걸 생각하니 너무 속상해.기계는 계속 발달하고 경제는 날마다 안 좋아지니 정말 걱정이야.전문직으로 일할 수 있는 분야를 공부하려고. 내가 살 길은 내가 찾아야지.
슬픔,남편과 건강하게 오랫동안 살고 싶은데 남편이 당뇨병에 걸렸다.원래 고혈압 질환이 있었는데 이번에 당뇨병까지 걸린 거야.병원에서 권해주는 약을 잘 먹고 몸에 해로운 음식은 먹지 않는 게 좋겠어.
당황,요즘 아들이 말도 없이 사업을 시작했나봐.혼동스러워. 사업 자금은 또 어디서 난건지.이제 차츰 해보려고.
분노,빨리 정년퇴직하고 공기 좋은 시골로 내려가서 살고 싶어. 도시는 너무 답답하고 힘들어.근데 아내는 시골로 내려가는 걸 반대해. 어떻게 해야 좋을지 모르겠어.좀 번화한 시골로 가거나 아니면 큰 도시와 가까운 시골로 내려가자고 말해봐야겠어.
당황,남편이 내 돈을 들고 집을 나갔어. 어떡하지?돈 문제 때문에 평소에도 다툼이 있었어.남편이 갈만한 곳을 찾아보고 늦기 전에 할 수 있는 일을 해야겠어.
슬픔,난 아주 성실하게 살아왔다고 자신하지만 주변에 남은 이가 아무도 없어. 공허함에 눈물만 나네.성실한 것과 주위에 사람이 있는 것은 차이가 있는 것이었어. 슬픔이 차오르네.마을회관에 가서 새로운 친구들을 만들고 외로움과 공허함을 채우겠어.
불안,이가 너무 안 좋은데 틀니는 하기 싫고 임플란트는 비싸네.임플란트를 하면 한 번에 치료가 되지만 비용이 너무 비싸서 자식들에게 말하기 두려워.비상금은 적게 있고 보험은 내용을 잘 몰라.
분노,이제까지 열심히 살아왔는데 암이라니! 나한테 어떻게 이럴 수 있어!다른 병원에서 검사를 다시 받아야겠어! 내게 이럴 수는 없어!
슬픔,오랜만에 만난 친구들에게 비통한 마음이 들었어.내가 변한 건지 친구들이 변한 건지는 알 수 없지만 뭔가 예전 같지 않았던 것 같아.기분 전환이 필요할 것 같은데 어떻게 하는 것이 좋은지 모르겠어.
